iter	Passed	Remaining
0	9	9286
1	14	7129
2	24	8272
3	31	7867
4	40	7964
5	46	7700
6	52	7432
7	58	7232
8	68	7592
9	75	7452
10	84	7606
11	92	7655
12	99	7539
13	107	7547
14	115	7574
15	125	7724
16	131	7597
17	136	7467
18	143	7396
19	151	7443
20	166	7751
21	173	7691
22	178	7587
23	187	7619
24	195	7617
25	204	7654
26	210	7568
27	214	7454
28	222	7445
29	226	7312
30	232	7279
31	240	7287
32	248	7293
33	254	7239
34	262	7240
35	270	7232
36	277	7209
37	283	7167
38	289	7123
39	294	7075
40	304	7122
41	310	7091
42	316	7034
43	327	7120
44	336	7134
45	340	7068
46	345	7014
47	353	7015
48	364	7069
49	376	7157
50	383	7127
51	388	7074
52	392	7021
53	402	7050
54	407	6998
55	412	6953
56	420	6955
57	430	6985
58	440	7029
59	446	6989
60	452	6964
61	462	6995
62	470	7005
63	478	6991
64	483	6960
65	488	6912
66	498	6945
67	507	6955
68	511	6903
69	518	6891
70	527	6897
71	533	6871
72	537	6823
73	543	6807
74	553	6827
75	560	6809
76	567	6803
77	572	6769
78	584	6819
79	594	6841
80	601	6824
81	614	6874
82	618	6832
83	625	6815
84	630	6784
85	639	6797
86	646	6781
87	650	6736
88	655	6711
89	661	6692
90	667	6669
91	671	6627
92	680	6633
93	687	6627
94	696	6630
95	700	6598
96	704	6559
97	712	6559
98	717	6534
99	721	6493
100	727	6475
101	731	6441
102	736	6414
103	740	6375
104	745	6351
105	751	6337
106	755	6309
107	760	6280
108	765	6260
109	769	6228
110	773	6193
111	777	6163
112	782	6138
113	790	6142
114	796	6130
115	802	6114
116	807	6090
117	811	6063
118	817	6050
119	821	6025
120	826	6007
121	833	5998
122	840	5991
123	846	5980
124	851	5962
125	856	5940
126	861	5920
127	866	5902
128	871	5882
129	878	5880
130	888	5896
131	899	5914
132	903	5888
133	907	5865
134	912	5844
135	916	5820
136	920	5797
137	926	5788
138	931	5768
139	938	5764
140	945	5757
141	951	5746
142	957	5739
143	962	5724
144	968	5712
145	973	5692
146	977	5674
147	982	5653
148	987	5637
149	990	5613
150	996	5603
151	1000	5581
152	1005	5563
153	1009	5545
154	1013	5524
155	1017	5504
156	1021	5482
157	1026	5471
158	1032	5462
159	1037	5448
160	1044	5441
161	1049	5428
162	1053	5411
163	1060	5406
164	1066	5396
165	1071	5380
166	1075	5362
167	1079	5345
168	1083	5328
169	1088	5315
170	1093	5301
171	1098	5287
172	1103	5273
173	1107	5259
174	1113	5248
175	1119	5242
176	1125	5231
177	1130	5220
178	1136	5212
179	1140	5197
180	1146	5187
181	1153	5184
182	1157	5167
183	1163	5158
184	1168	5146
185	1174	5139
186	1178	5123
187	1183	5109
188	1187	5097
189	1193	5086
190	1198	5075
191	1202	5059
192	1210	5060
193	1214	5046
194	1219	5035
195	1225	5025
196	1230	5014
197	1234	4999
198	1239	4990
199	1244	4979
200	1250	4970
201	1256	4962
202	1260	4950
203	1266	4940
204	1270	4925
205	1273	4910
206	1277	4895
207	1284	4889
208	1306	4946
209	1325	4985
210	1329	4970
211	1332	4954
212	1337	4940
213	1339	4919
214	1344	4907
215	1348	4893
216	1351	4877
217	1355	4860
218	1359	4848
219	1364	4836
220	1368	4823
221	1372	4808
222	1376	4797
223	1381	4785
224	1386	4775
225	1390	4761
226	1393	4745
227	1397	4730
228	1400	4715
229	1403	4698
230	1406	4683
231	1410	4668
232	1413	4653
233	1416	4637
234	1420	4622
235	1422	4606
236	1425	4589
237	1428	4572
238	1431	4557
239	1434	4541
240	1436	4525
241	1439	4509
242	1443	4495
243	1446	4481
244	1449	4466
245	1452	4450
246	1454	4435
247	1457	4420
248	1460	4405
249	1463	4391
250	1466	4376
251	1469	4361
252	1472	4346
253	1475	4332
254	1477	4317
255	1480	4302
256	1483	4288
257	1486	4274
258	1488	4259
259	1491	4246
260	1494	4231
261	1497	4217
262	1500	4203
263	1502	4189
264	1505	4175
265	1508	4162
266	1511	4148
267	1513	4134
268	1516	4121
269	1519	4107
270	1521	4094
271	1524	4080
272	1527	4068
273	1531	4056
274	1534	4044
275	1536	4031
276	1539	4018
277	1542	4005
278	1544	3992
279	1547	3980
280	1550	3967
281	1553	3956
282	1556	3944
283	1559	3931
284	1562	3919
285	1565	3907
286	1568	3895
287	1570	3883
288	1573	3871
289	1576	3859
290	1579	3847
291	1581	3835
292	1584	3823
293	1587	3811
294	1590	3800
295	1592	3788
296	1595	3776
297	1598	3765
298	1601	3754
299	1604	3742
300	1606	3731
301	1609	3719
302	1612	3708
303	1615	3697
304	1617	3686
305	1620	3675
306	1623	3664
307	1626	3653
308	1628	3642
309	1631	3632
310	1634	3621
311	1637	3610
312	1640	3599
313	1642	3588
314	1645	3578
315	1648	3567
316	1651	3557
317	1654	3547
318	1656	3536
319	1659	3526
320	1662	3516
321	1665	3505
322	1667	3495
323	1670	3485
324	1673	3475
325	1676	3465
326	1679	3455
327	1681	3445
328	1684	3435
329	1687	3425
330	1689	3415
331	1692	3405
332	1695	3395
333	1697	3385
334	1700	3376
335	1702	3364
336	1705	3355
337	1708	3346
338	1711	3337
339	1714	3328
340	1717	3318
341	1720	3309
342	1722	3300
343	1725	3290
344	1728	3281
345	1731	3272
346	1733	3262
347	1736	3254
348	1739	3244
349	1742	3235
350	1744	3226
351	1747	3217
352	1750	3208
353	1753	3199
354	1756	3190
355	1758	3181
356	1761	3172
357	1764	3164
358	1767	3155
359	1770	3146
360	1772	3138
361	1775	3129
362	1778	3120
363	1781	3112
364	1784	3103
365	1786	3095
366	1789	3086
367	1792	3077
368	1795	3069
369	1797	3061
370	1800	3052
371	1803	3044
372	1806	3035
373	1808	3027
374	1811	3019
375	1814	3011
376	1817	3002
377	1819	2994
378	1822	2986
379	1825	2978
380	1828	2970
381	1831	2962
382	1834	2954
383	1836	2946
384	1839	2938
385	1842	2930
386	1845	2922
387	1848	2915
388	1851	2907
389	1854	2899
390	1856	2892
391	1859	2884
392	1862	2876
393	1865	2868
394	1867	2860
395	1870	2853
396	1873	2845
397	1876	2837
398	1878	2830
399	1881	2822
400	1884	2815
401	1887	2807
402	1890	2800
403	1892	2792
404	1895	2784
405	1898	2777
406	1901	2770
407	1903	2762
408	1906	2755
409	1909	2747
410	1912	2740
411	1914	2733
412	1917	2725
413	1920	2718
414	1923	2711
415	1926	2704
416	1928	2696
417	1931	2689
418	1934	2682
419	1937	2675
420	1939	2667
421	1942	2660
422	1945	2653
423	1948	2646
424	1950	2639
425	1953	2632
426	1956	2625
427	1959	2618
428	1962	2611
429	1964	2604
430	1967	2597
431	1970	2590
432	1973	2584
433	1976	2577
434	1978	2570
435	1981	2563
436	1984	2556
437	1987	2550
438	1990	2543
439	1992	2536
440	1995	2529
441	1998	2522
442	2001	2516
443	2004	2509
444	2006	2502
445	2009	2496
446	2012	2489
447	2015	2483
448	2018	2476
449	2020	2469
450	2023	2463
451	2026	2456
452	2029	2450
453	2032	2443
454	2035	2438
455	2038	2431
456	2041	2426
457	2045	2420
458	2048	2414
459	2051	2407
460	2054	2402
461	2057	2396
462	2061	2391
463	2064	2384
464	2067	2378
465	2070	2372
466	2072	2365
467	2075	2359
468	2078	2353
469	2081	2346
470	2084	2340
471	2086	2334
472	2089	2328
473	2092	2322
474	2095	2316
475	2098	2310
476	2101	2303
477	2104	2297
478	2106	2291
479	2110	2285
480	2112	2279
481	2115	2273
482	2118	2267
483	2121	2261
484	2123	2255
485	2126	2249
486	2129	2243
487	2132	2237
488	2135	2231
489	2137	2225
490	2140	2218
491	2143	2213
492	2146	2207
493	2149	2201
494	2151	2195
495	2154	2189
496	2157	2183
497	2160	2177
498	2163	2171
499	2165	2165
500	2168	2159
501	2171	2154
502	2174	2148
503	2177	2142
504	2179	2136
505	2182	2131
506	2185	2125
507	2188	2119
508	2191	2113
509	2194	2108
510	2197	2102
511	2199	2096
512	2202	2091
513	2205	2085
514	2208	2079
515	2210	2073
516	2213	2068
517	2216	2062
518	2219	2056
519	2221	2051
520	2224	2045
521	2227	2039
522	2230	2034
523	2233	2028
524	2235	2022
525	2238	2017
526	2241	2011
527	2244	2006
528	2247	2000
529	2249	1995
530	2252	1989
531	2255	1984
532	2258	1978
533	2260	1972
534	2263	1967
535	2266	1962
536	2269	1956
537	2272	1951
538	2275	1945
539	2277	1940
540	2280	1935
541	2284	1930
542	2286	1924
543	2289	1919
544	2292	1913
545	2295	1908
546	2297	1903
547	2300	1897
548	2303	1892
549	2306	1887
550	2309	1881
551	2312	1876
552	2314	1871
553	2317	1865
554	2320	1860
555	2323	1855
556	2326	1850
557	2328	1844
558	2331	1839
559	2334	1834
560	2337	1829
561	2340	1824
562	2343	1819
563	2346	1813
564	2349	1808
565	2352	1803
566	2354	1798
567	2357	1793
568	2360	1787
569	2363	1783
570	2366	1777
571	2369	1773
572	2372	1768
573	2375	1763
574	2378	1757
575	2381	1752
576	2384	1747
577	2387	1742
578	2390	1737
579	2392	1732
580	2395	1727
581	2398	1722
582	2401	1717
583	2404	1712
584	2406	1707
585	2409	1702
586	2412	1697
587	2415	1692
588	2418	1687
589	2421	1682
590	2423	1677
591	2426	1672
592	2429	1667
593	2432	1662
594	2435	1657
595	2437	1652
596	2440	1647
597	2443	1642
598	2446	1637
599	2448	1632
600	2451	1627
601	2454	1622
602	2457	1618
603	2460	1613
604	2463	1608
605	2465	1603
606	2468	1598
607	2471	1593
608	2474	1588
609	2477	1583
610	2479	1578
611	2482	1574
612	2485	1569
613	2488	1564
614	2491	1559
615	2493	1554
616	2496	1549
